problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,29.0,1.0,31,0,21
er_14_0.3_1,19.0,1.0,31,0,6
er_14_0.3_2,23.0,1.0,31,0,20
er_14_0.5_0,34.0,1.0,31,0,5
er_14_0.5_1,32.0,1.0,31,0,20
er_14_0.5_2,34.0,1.0,31,0,5
er_14_0.7_0,42.0,1.0,31,0,15
er_14_0.7_1,41.0,1.0,31,0,12
er_14_0.7_2,38.0,1.0,31,0,6
er_16_0.3_0,26.0,1.0,124,1,7
er_16_0.3_1,30.0,1.0,127,0,48
er_16_0.3_2,22.0,1.0,127,0,17
er_16_0.5_0,47.0,1.0,127,0,25
er_16_0.5_1,42.0,1.0,127,0,41
er_16_0.5_2,40.0,1.0,127,0,95
er_16_0.7_0,50.0,1.0,127,0,8
er_16_0.7_1,55.0,1.0,127,0,29
er_16_0.7_2,55.0,1.0,127,0,60
er_18_0.3_0,36.0,1.0,511,0,136
er_18_0.3_1,34.0,1.0,511,0,296
er_18_0.3_2,39.0,1.0,511,0,215
er_18_0.5_0,47.0,1.0,511,0,140
er_18_0.5_1,56.0,1.0,511,0,6
er_18_0.5_2,56.0,1.0,511,0,170
er_18_0.7_0,67.0,1.0,511,0,34
er_18_0.7_1,65.0,1.0,511,0,31
er_18_0.7_2,65.0,1.0,511,0,20
er_20_0.3_0,44.0,1.0,2047,0,128
er_20_0.3_1,38.0,1.0,2047,0,515
er_20_0.3_2,38.0,1.0,2047,0,156
er_20_0.5_0,68.0,1.0,2047,0,1293
er_20_0.5_1,62.0,1.0,2047,0,687
er_20_0.5_2,64.0,1.0,2047,0,82
er_20_0.7_0,89.0,1.0,2047,0,554
er_20_0.7_1,83.0,1.0,2047,0,1383
er_20_0.7_2,80.0,1.0,2047,0,96
geo_14_0.3_0,15.0,1.0,31,0,3
geo_14_0.3_1,15.0,1.0,31,0,5
geo_14_0.3_2,15.0,1.0,31,0,12
geo_14_0.5_0,29.0,1.0,31,0,5
geo_14_0.5_1,23.0,1.0,31,0,1
geo_14_0.5_2,36.0,1.0,31,0,20
geo_14_0.7_0,39.0,1.0,31,0,5
geo_14_0.7_1,46.0,1.0,31,0,21
geo_14_0.7_2,41.0,1.0,31,0,2
geo_16_0.3_0,17.0,1.0,127,0,8
geo_16_0.3_1,23.0,1.0,127,0,70
geo_16_0.3_2,18.0,1.0,124,1,8
geo_16_0.5_0,37.0,1.0,127,0,42
geo_16_0.5_1,45.0,1.0,127,0,42
geo_16_0.5_2,37.0,1.0,127,0,10
geo_16_0.7_0,45.0,1.0,127,0,88
geo_16_0.7_1,55.0,1.0,127,0,88
geo_16_0.7_2,56.0,1.0,127,0,116
geo_18_0.3_0,19.0,1.0,496,1,9
geo_18_0.3_1,25.0,1.0,496,1,9
geo_18_0.3_2,23.0,1.0,511,0,17
geo_18_0.5_0,41.0,1.0,511,0,267
geo_18_0.5_1,50.0,1.0,511,0,327
geo_18_0.5_2,46.0,1.0,511,0,103
geo_18_0.7_0,68.0,1.0,511,0,48
geo_18_0.7_1,80.0,1.0,511,0,130
geo_18_0.7_2,71.0,1.0,511,0,374
geo_20_0.3_0,31.0,1.0,2047,0,15
geo_20_0.3_1,30.0,1.0,2047,0,1072
geo_20_0.3_2,32.0,1.0,2047,0,1308
geo_20_0.5_0,54.0,1.0,2047,0,929
geo_20_0.5_1,64.0,1.0,2047,0,216
geo_20_0.5_2,59.0,1.0,2047,0,641
geo_20_0.7_0,82.0,1.0,2047,0,1591
geo_20_0.7_1,87.0,1.0,2047,0,1771
geo_20_0.7_2,81.0,1.0,2047,0,464
